section_title,form_label,form_class,form_instructions,required,placeholder,item_label_1,item_label_2,item_label_3,item_label_4,item_label_5,item_label_6,depends_on_field,depends_on_values,show_by_default,complexity_simple,complexity_standard,complexity_complex,type_strategic,type_technical,type_operational,is_universal
Organization Details,Organization Details,text,Include company size and industry if relevant,TRUE,Enter your organization name...,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Problem Definition,Core Problem Statement,textarea,Be as detailed as possible - include symptoms root causes if known and business impact. Focus on the 'what' not the 'how'.,TRUE,Describe the specific problem you need to solve...,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Problem Definition,Target Audience/Beneficiaries,text,Define your end users stakeholders and anyone affected by this problem (both internal and external),TRUE,Who will benefit from solving this problem?,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Problem Definition,Problem Category,radio-group,Select the primary category that best describes your problem,TRUE,,Strategic,Technical,Operational,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Problem Definition,Desired Outputs/Deliverables,checkbox-group,Select all that apply for your expected deliverables,TRUE,,Reports and documentation,Prototypes or proof of concepts,Strategic recommendations,Implementation plans,Process improvements,Training materials,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Timeline & Logistics,Project Start Date,date,Provide realistic start date considering procurement and onboarding time,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Timeline & Logistics,Project Duration,select,Consider scope complexity and resource availability,TRUE,,1-2 weeks,3-4 weeks,1-3 months,3-6 months,6-12 months,12+ months,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Timeline & Logistics,Urgency Level,radio-group,,TRUE,,Low,Medium,High,Critical,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Budget & Commercial Terms,Budget Range,select,Provide realistic budget ranges. Consider that expertise level affects pricing,TRUE,,Under $5K,$5K-15K,$15K-50K,$50K-100K,$100K-250K,$250K+,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Delivery Preferences,Work Mode,radio-group,,TRUE,,Remote,Hybrid,On-site,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Delivery Preferences,Location,text,Include city state/region and any travel requirements,FALSE,City State/Region,,,,,,,workmode,Hybrid|On-site,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Current State & Resources,Current Status,textarea,List previous attempts partial solutions tools used consultants engaged. Include what worked partially what failed and lessons learned,FALSE,What have you already tried to solve this problem?,,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Expertise & Skills Required,Experience Level Required,radio-group,,TRUE,,Junior,Mid-level,Senior,Expert,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Expertise & Skills Required,Technical Skills Needed,checkbox-group,Select all technical skills required,FALSE,,Programming languages,Database management,Cloud platforms,Data analysis tools,System integration,API development,,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Expertise & Skills Required,Domain Knowledge Required,checkbox-group,Select all domain expertise areas needed,FALSE,,Industry expertise,Market knowledge,Regulatory knowledge,Process expertise,Strategic planning,Research methods,,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Expertise & Skills Required,Soft Skills & Attributes,checkbox-group,Select all soft skills and attributes needed,FALSE,,Leadership,Communication,Change management,Stakeholder management,Creative problem solving,Data-driven approach,,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Current State & Resources,Available Resources,checkbox-group,Be specific about access levels data availability and collaboration opportunities,FALSE,,Data access,API access,Team support,Tools/platforms,Historical documentation,Budget for tools,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Additional Considerations,Special Access Requirements,checkbox-group,,FALSE,,Security clearance,NDA required,Client site access,Background checks,Industry certifications,Compliance requirements,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Success Criteria & Outcomes,Success Metrics,textarea,Include both quantitative metrics and qualitative success indicators. How will you measure if this project succeeds?,TRUE,How will you measure success?,,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Delivery Preferences,Communication Frequency,select,How do you prefer to collaborate and receive updates?,TRUE,,Daily check-ins,Weekly updates,Bi-weekly,Monthly,As-needed,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Additional Considerations,Constraints & Limitations,textarea,Include any non-negotiable requirements or environmental factors (technical limitations regulatory requirements budget constraints timeline restrictions),FALSE,What constraints must the solver work within?,,,,,,,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Additional Considerations,Confidentiality & IP Requirements,radio-group,,FALSE,,Standard NDA,Enhanced confidentiality,IP assignment required,No special requirements,,,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Budget & Commercial Terms,Payment Structure,radio-group,,TRUE,,Fixed price,Hourly rate,Milestone-based,Retainer,Equity/revenue share,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE